name,brand,description,price,category,photos
Sony Bravia KD-75X80L 75 Inch 4K Ultra HD Smart LED Android TV (Unofficial),Sony,Latest Offers,"208,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x80l/bravia-kd-75x80l-02-500x500.webp
Sony Bravia 3 K-55S30 55 Inch 4K UHD Google TV,Sony,Latest Offers,"159,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
"Samsung 75DU8000 75"" Crystal 4K UHD HDR Smart TV",Samsung,Latest Offers,"177,800৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/75du8000/75du8000-01-500x500.webp
Samsung 65Q800T 65 Inch 8K QLED Smart TV with Alexa Built-in,Samsung,Latest Offers,"215,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/q800t/q800t-01-500x500.jpg
"Samsung 65QN90B 65"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"217,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn90b/55qn90b-01-500x500.webp
Sony Bravia XR-65X90L 65-inch 4K Ultra HD Smart TV (Unofficial),Sony,Latest Offers,"221,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-55x90l/bravia-xr-55x90l-05-500x500.webp
"Sony Bravia 3 K-75S30 75"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"225,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
"Sony Bravia XR 55A80L 55"" 4K Ultra HD OLED Android Smart TV (Unofficial)",Sony,Latest Offers,"232,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/xr-55a80l/xr-55a80l-01-500x500.webp
Samsung QA55S95C 55 Inch OLED 4K Smart TV,Samsung,Latest Offers,"244,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/qa55s95c/qa55s95c-01-500x500.webp
Sony Bravia 3 K-65S30 65 Inch 4K UHD Google TV,Sony,Latest Offers,"194,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/k-43s30/k-43s30-001-500x500.webp
"Smart SEL-85G25F 85"" 4K Voice Control Android Google TV",Smart,Latest Offers,"185,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/smart/sel-85g25f/sel-85g25f-500x500.webp
"Sony Bravia XR-55X90K 55"" 4K Ultra HD Smart TV",Sony,Latest Offers,"197,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-55x90k/xr-55x90k-001-500x500.webp
Sony Bravia XR-55X90L 55 Inch 4K UHD Smart TV,Sony,Latest Offers,"187,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-55x90l/xr-55x90l-01-500x500.webp
LG C2 65-inch evo OLED 4K UHD Smart TV,LG,Latest Offers,"268,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/c2-65-inch/c2-65-inch-01-500x500.webp
"Samsung 75Q60D 75"" QLED 4K UHD HDR Smart TV",Samsung,Latest Offers,"250,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55q60d/55q60d-001-500x500.webp
"Samsung 85DU8000 85"" Crystal 4K UHD HDR Smart TV",Samsung,Latest Offers,"260,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/75du8000/75du8000-01-500x500.webp
LG evo C3 65 Inch OLED 4K Smart TV,LG,Latest Offers,"277,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/evo-c3/evo-c3-01-500x500.webp
"Samsung 75QN85B 75"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"284,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn85b/55qn85b-01-500x500.webp
"Sony Bravia XR 65A80K 65"" 4K Ultra HD OLED Android Smart TV",Sony,Latest Offers,"315,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/55a80k/55a80k-01-500x500.webp
"Samsung 65S95B 65"" LaserSlim Design OLED 4K Smart TV",Samsung,Latest Offers,"309,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65s95b/65s95b-01-500x500.webp
Samsung QA65S90C 65 Inch OLED 4K Smart TV,Samsung,Latest Offers,"295,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/qa55s90c/qa55s90c-01-500x500.webp
Samsung 65S90C 65 Inch OLED 4K Smart TV,Samsung,Latest Offers,"294,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55s90c/55s90c-01-500x500.webp
"Samsung 75Q60B 75"" QLED UHD 4K HDR Smart TV",Samsung,Latest Offers,"212,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/65q60b/65q60b-01-500x500.webp
"Samsung 75QN85C 75"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"314,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/75qn85c/75qn85c-01-500x500.webp
Sony Bravia KD-75X80L 75 Inch 4K Ultra HD Smart LED Android TV,Sony,Latest Offers,"239,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x80l/bravia-kd-75x80l-001-500x500.webp
Sony Bravia KD-65X85L 65 Inch 4K UHD Smart TV,Sony,Latest Offers,"199,900৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-55x85l/kd-55x85l-02-500x500.webp
LG 86UQ9000 86 Inch 4K UHD Smart TV,LG,Latest Offers,"320,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/lg-tv/86uq9000/86uq9000-01-500x500.webp
"Sony Bravia XR-75X90K 75"" 4K UHD Smart TV",Sony,Latest Offers,"325,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-75x90k/bravia-xr-75x90k-01-500x500.webp
Samsung 85Q70C 85 Inch QLED 4K UHD Smart TV,Samsung,Latest Offers,"325,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/85q70c/85q70c-01-500x500.webp
Sony Bravia KD-85X80L 85 Inch 4K Ultra HD Smart TV (Unofficial),Sony,Latest Offers,"327,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-kd-75x80l/bravia-kd-75x80l-02-500x500.webp
"Sony Bravia XR-65A80L 65"" 4K Ultra HD Smart Android OLED Google TV (Unofficial)",Sony,Latest Offers,"339,500৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-xr-65a80l/bravia-xr-65a80l-05-500x500.webp
"Sony Bravia 3 K-85S30 85"" 4K UHD Google Smart TV (Unofficial)",Sony,Latest Offers,"340,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/sony/bravia-3-k-55s30/bravia-3-k-55s30-500x500.webp
"Samsung 75QN90B 75"" Neo QLED UHD 4K Smart TV",Samsung,Latest Offers,"355,000৳",tv,https://www.startech.com.bd/image/cache/catalog/television/samsung/55qn90b/55qn90b-01-500x500.webp
